student_id,minutes_watched,paid_in_q2
389,0.15,1
616,116.0167,1
618,238.15,1
666,2.8333,1
838,348.2833,1
841,324.75,1
862,166.7333,1
875,46.7667,1
908,0.9167,1
911,39.35,1
917,5.6667,1
969,584.6,1
988,144.7833,1
999,384.2167,1
1016,20.15,1
1019,56.5,1
1046,1406.3833,1
1064,66.85,1
1085,82.9667,1
1102,271.3,1
1151,206.2333,1
1159,30.7833,1
1183,46.8167,1
1188,13.0167,1
1200,329.4,1
1201,7.6667,1
1210,4.4,1
1215,3.0333,1
1221,227.3,1
1235,35.9833,1
1246,528.5667,1
1271,3.05,1
1306,735.6833,1
1308,0.35,1
1355,18.0667,1
1357,0.1167,1
1362,13.5167,1
1373,45.9167,1
1382,0.3333,1
1395,98.5833,1
1397,27.8333,1
1404,29.7333,1
1424,0.0667,1
1426,17.7833,1
1434,23.6667,1
1436,0.2333,1
1437,47.1,1
1456,0.4,1
1468,88.6333,1
1521,776.9167,1
1522,125.8833,1
1537,19.8167,1
1538,1.7,1
1539,0.8833,1
1563,5.2667,1
1581,285.95,1
1605,25.0,1
1641,1.8667,1
1652,1032.8667,1
1661,5.1833,1
1669,52.3833,1
1678,92.9167,1
1688,11.3667,1
1742,264.8833,1
1753,55.7667,1
1754,516.1833,1
1778,397.3667,1
1780,0.65,1
1794,115.5167,1
1802,0.05,1
1845,9.45,1
1852,218.2333,1
1863,38.1667,1
1864,301.2167,1
1866,0.0833,1
1880,719.0333,1
1909,238.35,1
1914,20.5,1
1950,17.0167,1
1977,748.1167,1
2003,935.6667,1
2014,114.6667,1
2018,161.7,1
2019,0.5333,1
2022,94.05,1
2055,20.1167,1
2060,22.5,1
2070,128.3833,1
2073,467.5333,1
2084,89.4,1
2091,397.0333,1
2110,4.3167,1
2112,876.1667,1
2114,78.1833,1
2185,64.4333,1
2188,11.8833,1
2195,29.3,1
2217,11.5667,1
2218,50.6333,1
2222,2.45,1
2236,9.1167,1
2248,382.25,1
2255,244.1667,1
2258,7.85,1
2266,10.2667,1
2274,3.7167,1
2284,2.2167,1
2292,43.6833,1
2295,40.0167,1
2324,8.5833,1
2359,0.15,1
2377,36.1,1
2385,10.5833,1
2398,368.5333,1
2409,57.35,1
2417,13.1333,1
2431,0.85,1
2495,125.35,1
2506,14.1833,1
2534,0.7,1
2546,384.0,1
2555,665.9333,1
2591,89.6833,1
2620,16.0667,1
2629,1.55,1
2636,112.0,1
2663,15.2833,1
2688,70.6333,1
2702,0.45,1
2723,75.0833,1
2725,125.75,1
2731,468.6667,1
2734,202.7,1
2737,680.5667,1
2764,2.6667,1
2824,18.7167,1
2851,401.5667,1
2863,2.5833,1
2866,6.4833,1
2881,1.2,1
2887,4.0833,1
2925,15.3,1
2938,113.5833,1
2945,54.9167,1
2954,163.1167,1
2973,3.2833,1
2978,199.3667,1
2984,367.0167,1
2986,520.9667,1
3056,1.7833,1
3062,4.3833,1
3070,542.95,1
3074,1.1167,1
3080,77.4667,1
3115,21.0333,1
3146,0.35,1
3188,35.15,1
3195,354.3333,1
3219,163.95,1
3239,1957.1833,1
3256,360.45,1
3292,57.95,1
3297,3.3833,1
3338,209.25,1
3406,16.7333,1
3420,78.9167,1
3423,627.7833,1
3478,0.6,1
3481,30.5833,1
3511,7.4833,1
3522,1.3667,1
3524,58.7833,1
3577,329.9,1
3598,133.9,1
3631,6.7833,1
3652,20.8667,1
3774,728.3,1
3780,141.0333,1
3799,177.0667,1
3817,1140.0333,1
3852,5.0,1
3856,248.5833,1
3916,61.5667,1
3943,163.8167,1
3982,0.05,1
3984,30.3333,1
3985,0.1167,1
3987,0.9,1
4011,54.9833,1
4019,57.5,1
4035,26.2833,1
4055,221.25,1
4059,163.5333,1
4078,0.9,1
4080,813.4833,1
4112,47.85,1
4162,16.1667,1
4186,41.8167,1
4194,30.2333,1
4231,59.1167,1
4266,121.1,1
4298,3.7667,1
4320,33.7167,1
4337,10.4667,1
4371,63.5667,1
4376,41.0333,1
4384,0.0833,1
4404,185.35,1
4435,1.3667,1
4439,0.3667,1
4537,305.2833,1
4558,163.4167,1
4566,4.1833,1
4595,809.45,1
4629,234.4833,1
4640,292.9833,1
4685,366.1167,1
4698,18.3333,1
4723,596.7333,1
4778,36.95,1
4784,296.6,1
4795,12.8167,1
4829,137.6833,1
4872,242.5167,1
4884,33.2667,1
4907,4.6167,1
5010,617.9333,1
5018,31.5,1
5058,1.2667,1
5064,419.6667,1
5076,5.5833,1
5080,551.5,1
5109,3.7167,1
5111,34.85,1
5143,43.4,1
5212,195.2667,1
5221,23.65,1
5321,1966.65,1
5323,167.8833,1
5340,224.7,1
5389,46.5,1
5427,12.9333,1
5515,6.9833,1
5567,0.45,1
5579,2.0833,1
5683,20.3,1
5704,0.1,1
5774,249.2167,1
5836,643.5333,1
5884,99.2833,1
5974,0.3333,1
6011,13.85,1
6053,986.1333,1
6070,5.7833,1
6096,21.1,1
6110,19.6167,1
6159,253.15,1
6164,184.8333,1
6174,5.6667,1
6278,1206.45,1
6408,267.65,1
6505,44.0333,1
6559,461.3167,1
6560,0.4667,1
6589,176.0167,1
6618,123.2167,1
6787,315.15,1
6801,22.25,1
6819,28.1333,1
6862,224.5167,1
6885,509.8,1
6890,62.3,1
6899,13.85,1
6950,879.05,1
6971,44.85,1
7008,1.3833,1
7013,5.8833,1
7037,2.2,1
7069,17.9,1
7086,250.0,1
7163,537.5333,1
7178,20.25,1
7179,4.7667,1
7224,78.6333,1
7244,19.2167,1
7282,6.7167,1
7294,21.2,1
7358,9.3,1
7382,49.6167,1
7412,61.2,1
7439,2131.4167,1
7474,2.7167,1
7475,96.2167,1
7495,57.15,1
7524,36.5167,1
7540,325.05,1
7548,43.1833,1
7612,7.4167,1
7620,41.4167,1
7790,1.3833,1
7873,187.0667,1
7975,506.9667,1
8018,432.5333,1
8030,26.0333,1
8059,114.1,1
8095,79.65,1
8133,164.4167,1
8156,8.9167,1
8223,12.2167,1
8412,44.7333,1
8425,7.8667,1
8452,64.55,1
8495,312.5167,1
8544,352.65,1
8594,1450.45,1
8600,18.4667,1
8641,85.4,1
8754,249.3667,1
8835,257.1833,1
8840,417.1333,1
8954,7.3833,1
9098,4.6167,1
9101,1.0167,1
9107,496.0167,1
9108,2.1667,1
9178,268.6,1
9188,11.9333,1
9305,174.7333,1
9372,301.9167,1
9409,791.6,1
9754,684.8,1
9808,147.1167,1
10131,76.15,1
10218,0.0833,1
10390,1.05,1
10422,871.9833,1
10685,74.8667,1
10690,83.7667,1
10938,7.2667,1
11124,50.7667,1
11215,41.4833,1
11325,10.4167,1
11402,0.1167,1
11504,0.45,1
11711,19.85,1
11793,10.4833,1
11800,32.6167,1
11808,36.4167,1
11996,0.1,1
12279,200.9167,1
12284,423.0,1
12330,71.55,1
12530,4.55,1
12532,481.9,1
12704,12.5833,1
12816,31.7167,1
12820,116.7,1
13114,18.5,1
13132,34.1,1
13180,107.4333,1
13538,140.2167,1
13620,143.8667,1
14217,0.7667,1
14463,11.55,1
14633,2.8667,1
14649,51.0667,1
14700,1325.4167,1
14765,1.3667,1
14905,67.3333,1
15334,19.9,1
15345,0.05,1
15472,240.0167,1
15743,87.1333,1
16052,58.65,1
16414,55.3333,1
16832,10.7167,1
17419,702.6333,1
17613,223.8333,1
17859,16.1,1
18314,2.1,1
21449,168.6167,1
23287,0.4667,1
23727,245.1167,1
24006,27.6333,1
24423,236.05,1
25494,33.1833,1
25521,5.8167,1
27104,187.6667,1
32560,5.2,1
37860,752.55,1
136313,1.2,1
142411,22.1667,1
142965,12.4833,1
143026,40.6,1
143148,40.7667,1
143216,144.1,1
143454,9.4167,1
143561,1767.3667,1
143599,37.2667,1
143701,647.45,1
143799,4.8667,1
144164,410.9,1
144239,96.6667,1
144348,473.5,1
144378,62.8667,1
144599,4.5667,1
144788,1082.0667,1
144869,178.45,1
144900,75.0667,1
699,222.35,1
1036,221.6167,1
1567,365.3667,1
1883,2.6667,1
3183,147.55,1
4176,37.1667,1
4303,12.2833,1
4908,92.4333,1
6165,45.2,1
7649,7.1167,1
7955,134.4833,1
8431,311.3833,1
11709,225.15,1
11717,17.6667,1
12915,17.6167,1
13296,133.2333,1
13707,91.3333,1
14967,0.4167,1
15772,1110.1833,1
16915,0.1167,1
16979,535.6833,1
17317,1.0,1
22083,149.8333,1
22980,62.2167,1
25507,60.1167,1
32973,1.1833,1
33495,32.9667,1
34533,31.7667,1
38457,1.9833,1
40307,36.9167,1
40867,119.7,1
41336,992.15,1
43191,187.35,1
43604,4.9667,1
43915,172.1667,1
44291,24.5833,1
51495,45.6833,1
55811,84.3167,1
64522,53.65,1
74005,183.3,1
78822,2.6667,1
82986,141.9333,1
88122,43.2167,1
97530,110.5167,1
117782,0.1,1
138534,52.6167,1
143214,64.7667,1
143407,38.5167,1
143637,108.85,1
144561,36.65,1
145013,425.2667,1
145177,918.1667,1
145310,36.4333,1
145569,3.4833,1
145783,11.9333,1
145793,154.9667,1
145813,85.4,1
146021,0.8,1
146030,151.2667,1
146908,37.6333,1
146948,4.7667,1
146990,11.8167,1
147044,4.2,1
147132,357.9167,1
147142,35.9667,1
147542,124.8333,1
147604,461.2167,1
147992,2.95,1
